"comunidad","year","roe","margen","rotacion","gastosfin","cobertura","cobro","pago","crecimiento","solvencia","liquidez","ingresosemp","costeemp","beneficioemp","ventas","gastosfinancieros","gastospersonal","resultadoejercicio","activo","inmovilizado","activocorriente","patrimonioneto","deudaslargoplazo","deudascortoplazo","fondomaniobra"
"Aragon",1996,16.22,1.3,2.03,0.01,1.71,69.59,36.24,11.28,24.53,1.2,75.24,15.52,1.08,342713.53,7970.66,80816.56,9742.56,252700.7,73511.59,179189.12,85860.24,60163.47,8274.55,128565
"Aragon",1997,21.67,1.4,2.13,0.01,1.88,61.94,31.28,15.88,24.84,1.16,79.37,17.17,1.46,481000.53,8464.6,114486.53,5746.05,323852.88,94267.18,229585.73,95443.68,62594.72,7652.83,149776.55
"Aragon",1998,20.46,1.29,2,0.01,2.26,66.48,39.28,14.82,23.31,1.15,78.74,16.44,1.19,668491.89,8410.48,143463.25,26642.02,380528.94,98001.94,282527.05,109623.39,52350.58,13285.56,185642.44
"Aragon",1999,23.11,1.61,2.08,0.01,2.82,65.7,26.46,13.89,24.59,1.18,73.28,17.65,1.85,792405.32,12884.68,166843.82,7949.19,470196.98,147281.11,322915.88,131516.88,50274.6,19493.62,215540.96
"Aragon",2000,18.24,0.88,1.95,0.01,1.65,63.44,68.26,12.53,21.31,1.11,74.5,17.89,0.71,951135.18,12281.83,207068.47,18690.15,693304.12,234545.25,458758.86,201536.33,51902.42,39248.64,326147.01
"Aragon",2001,18.37,0.53,1.97,0.01,1.27,61.26,19.56,6.9,22.6,1.08,68.21,18.62,0.53,1071717.74,15205.61,239883.1,-7917.06,705512.61,280250.2,425262.42,202218.1,70249.76,47834.99,304314.54
"Aragon",2002,17.65,0.97,1.84,0.01,1.61,67.44,18.25,5.9,21.55,1.12,70.61,19.27,0.75,976392.8,9611.66,206083.22,-3771.48,546096.62,209653.16,336443.5,156481.3,99603.77,54686.51,247206.99
"Aragon",2003,17.63,0.97,1.9,0.01,1.76,64.82,21.2,6.8,20.42,1.11,71.95,19.74,0.8,1081302.45,7483.55,212243.82,-11107.8,510718.23,128257.5,382460.73,125699.68,82114.72,64811.31,279991.64
"Aragon",2004,13.14,0.73,1.83,0,1.88,62.88,18.39,7.74,21.19,1.15,74.87,20.82,0.76,1194738.69,7065.25,213421.8,-301.13,512263.96,118421.28,393842.68,93432.32,37669.74,62189.96,290791.67
"Aragon",2005,15.06,0.7,1.82,0,1.84,64.75,38.29,10.24,19.03,1.15,71.23,21.17,0.65,1326279.04,9529.72,231324.45,17227.51,664070.45,212850.89,451219.55,139881.41,157557.07,17134.19,251329.08
"Aragon",2006,18.03,1.03,1.74,0.01,2.25,63.16,41.6,10.8,20.36,1.16,77.17,22.02,0.86,1514296.49,14946.51,256614.7,11275.42,807099.76,285422.57,521677.21,148096.91,225009.21,32519.83,312430.97
"Aragon",2007,19.52,1.51,1.75,0.01,2.86,67.23,43.12,8.71,22.86,1.26,84.34,23.18,1.35,1725865.06,23259.97,279185.64,37781.25,858468.62,249447.59,609021.04,286095.89,33757.49,147714.51,398035.84
"Aragon",2008,15.02,1.03,1.79,0.01,1.71,54.67,36.52,0.35,25.98,1.23,81.31,24.92,1.1,1575731.15,22460.16,306818.69,2190.15,824572.21,261571.43,563000.78,248033.44,146136.59,78464.39,293111.82
"Aragon",2009,9.88,0.73,1.48,0.01,1.45,63.73,36.03,-11.36,24.76,1.22,75.32,26.11,0.53,1344526.84,26595.64,299289.12,-35686.7,831888.86,284036.75,547852.13,234566.33,146661.46,74850.19,268534.25
"Aragon",2010,9.41,0.76,1.48,0.01,1.7,62.57,52.37,-1.74,26.74,1.28,79.04,26,0.63,1416865.08,19334.65,291799.7,15104.02,854114.97,311546.11,542568.85,275505.93,145454.66,57403.32,301623.54
"Aragon",2011,6.59,0.46,1.43,0.01,1.23,60.41,42.75,-5.29,27.92,1.27,74.71,26.62,0.27,1331310.76,18251.42,281118.13,3688.86,808484.34,285995.83,522488.51,275939.66,111059.22,60857.48,254683.86
"Aragon",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Andalucia",1996,16.2,1,1.84,0.01,1.48,65.67,23.27,10.61,14.53,1.02,71.1,15.34,0.86,785540.62,19493.54,152123.73,12074.72,556640.84,165970.36,390670.53,133221.12,30512.07,87289.9,258867.35
"Andalucia",1997,18.91,1.11,1.9,0.01,1.69,58.49,46.72,15.85,15.84,1.05,74.62,14.27,1.17,999674.04,21342.27,149577.72,31481.54,577471.66,188547.38,388924.3,126918.52,34309.36,57040.98,235759.95
"Andalucia",1998,22.49,0.95,1.83,0.01,1.67,60.04,43.09,20.11,14.61,1.05,78.33,14.07,1.02,1158080.88,16385.84,181805.77,25101.21,727897.09,239702.3,488194.77,182238.96,46956.53,39112.95,276400.69
"Andalucia",1999,22.27,1.03,1.88,0.01,1.97,55.93,60.39,17.78,13.45,1.03,75.07,14.48,0.94,1360207.68,28542.33,223843.34,-3131.85,1168011.71,475539.22,692472.54,324755.95,148629.22,81288.58,329273.19
"Andalucia",2000,20.36,1.01,1.74,0.01,1.66,60.54,49.48,13.25,13.85,1.02,71.81,14.9,0.76,1634009.84,56395.04,289550.09,-85045.74,1632152.49,824233.11,807909.38,363519.28,250473.66,60852.85,355558.11
"Andalucia",2001,20.98,0.87,1.83,0.01,1.64,54.91,39.54,11.05,13.7,1.02,70.24,15.12,0.76,1894387.87,51507.24,342669.31,-36519.39,1814805.79,970477.74,844328.09,340985.59,497553.16,182528.15,451826.31
"Andalucia",2002,21.04,0.85,1.72,0.01,1.78,55.65,37.54,7.06,13.72,1.02,68.02,15.58,0.58,1895708.68,36974.18,352052.18,-73934.7,1705462.48,827386.66,878075.82,470448.31,379299.37,102531.54,486878.86
"Andalucia",2003,18.76,0.86,1.71,0.01,1.8,53.42,38.11,13.9,15.4,1.04,74.16,16.03,0.63,2230318.24,24422.89,336533.83,21236.93,1319446.54,404018.37,915428.18,410972.13,131736.5,50773.11,433323.24
"Andalucia",2004,19.6,0.75,1.66,0.01,1.78,56.93,36.8,8.42,14.03,1.03,75.22,16.94,0.72,2537833.07,33052.97,389469.74,35453.77,1532710.46,494184.86,1038525.62,488027.82,151923.28,114773.37,495902.08
"Andalucia",2005,17.56,0.76,1.65,0.01,1.77,56.26,51.21,6.71,12.93,1.04,76.77,17.59,0.57,2492238.99,21735.82,426729.42,11235.73,1444208.32,490067.1,954141.23,456847.81,174406.33,77132.71,556605.83
"Andalucia",2006,18.89,0.98,1.63,0.01,2.08,55.08,41.25,10.38,13.72,1.07,79.46,18.22,0.81,2693285.13,25728.97,476250.94,19084.34,1666947.06,588698.42,1078248.65,497753.99,251454.3,94207.42,641893.71
"Andalucia",2007,19.26,1.27,1.68,0.01,2.12,56.52,51.38,6.18,15.34,1.08,85.73,19.24,1.23,2637123.21,38200.72,560724.2,3305.24,1923641.77,663540.13,1260101.64,535345.4,177554.83,147194.3,782636.61
"Andalucia",2008,15,1.06,1.51,0.01,1.88,51.42,33.34,-3.98,17.61,1.1,77.79,20.7,0.91,2825989.88,46768.48,601723.23,9711.74,1902638.35,692754.3,1209884.06,637964.96,268432.52,147997.56,764635.84
"Andalucia",2009,12.4,0.76,1.36,0.01,1.47,52.29,35.57,-11.38,18.24,1.1,71.14,20.94,0.65,2304709.12,31673.24,600874.61,10772.55,1890419.04,747592.22,1142826.84,638212.88,294130.63,119953.12,704442.25
"Andalucia",2010,11.22,0.81,1.34,0.01,1.81,56.02,33.64,-0.88,19.5,1.14,74.25,22,0.75,2511951.34,31842.82,653498.51,3250.08,2076394.77,812546.13,1263848.69,677227.91,323685.78,122287.34,744279.19
"Andalucia",2011,8.31,0.57,1.3,0.01,1.34,53,32.12,-6.42,19.55,1.14,70.58,22.71,0.53,2300169.75,36920.59,664862.76,-88382.37,1803593.01,697338.91,1104715.87,447194.35,322357.78,95186.14,620625.43
"Andalucia",2012,,,,,,,,,,,,,,,,,,,,,,,,
"Asturias",1996,11.74,0.81,1.8,0.01,1.79,64.16,71.34,5.68,22.3,1.12,88.14,15.95,1.13,103641.47,2694.61,18274.15,1375.34,71684.41,17813.35,53871.06,21237.93,3886.28,4214.06,37371.36
"Asturias",1997,23.65,1.37,1.92,0.01,2.04,71.04,56.01,15.19,19.02,1.15,92.69,16.95,1.33,138777.52,2946.85,22325.43,2814.68,90598.06,23447.85,67150.21,28572.79,6306.45,3015.18,44364.18
"Asturias",1998,21.69,1.14,2.08,0.01,1.52,74.03,82.5,10.16,18.47,1.09,69.68,15.19,0.67,177692.88,2641.01,27515.37,1789.03,124656.1,41649.64,83006.46,38395.44,9088.85,6444.35,51388.56
"Asturias",1999,16.35,0.86,2.15,0.01,1.72,70.7,53.05,10.98,17.21,1.08,75.44,14.85,0.86,220200.91,4230.15,35841.05,3344.05,199987.99,71649.49,128338.5,52512.17,38822.19,6877.83,75726.48
"Asturias",2000,17.05,0.91,2.09,0.01,1.72,61.42,40.59,12.78,17.32,1.02,71.97,14.76,0.65,291840.17,7539.15,44750.56,2770.08,258007.77,98819,159188.78,66808.92,48577.16,14554.93,95535.09
"Asturias",2001,15.66,0.68,2.13,0.01,2.11,59.79,35.2,8.6,19.63,1.1,78.87,16.01,0.74,312650.43,7313.16,56502.95,5121.57,283435.44,129617.02,153818.42,85042.88,58817.13,11869.72,99454.94
"Asturias",2002,16.62,0.63,2.09,0.01,1.65,58.42,51.37,-0.08,19.65,1.13,68.6,16.14,0.5,297759.97,6569.52,59287.35,733.23,300373.78,161197.17,139176.61,87165.17,95633.96,16792.51,100348.74
"Asturias",2003,10.71,0.53,2,0.01,1.46,61.49,55.47,4.94,20.63,1.15,68.19,17.95,0.39,289091.65,7293.06,61979.96,-4181.5,299110.32,170993.62,128116.7,81917.52,98606.97,19965.08,72701.17
"Asturias",2004,12.05,0.88,1.81,0.01,1.75,66.1,72.91,3.75,17.91,1.11,66.49,18.81,0.73,350678.87,7248.53,68812.9,2772.28,320043.87,178785.62,141258.24,85906.34,91830.15,27446.74,79170.77
"Asturias",2005,13.76,1.18,1.77,0.01,2.52,62.74,53.39,7.35,21.77,1.17,72.4,19.73,0.86,408696.75,7504.54,80482.77,7618.88,361467.57,192895.44,168572.12,99552.21,99736.73,26198.64,96424.78
"Asturias",2006,13.55,1.38,1.82,0.01,2.68,63.54,32.73,9.58,21.92,1.17,72.46,20.09,1.01,431800.37,7822.32,89929.77,9552.98,362114.08,192730.07,169384.01,102844.48,100559.3,32956.68,97218.31
